FIPS,Primary Care Physicians Ratio,Teen Birth Rate,Food Environment Index,% Unemployed,Income Ratio,Presence of Water Violation,Child Mortality Rate,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Segregation Index,Gender Pay Gap,School Funding Adequacy,Median Household Income,% Household Income Required for Child Care Expenses,Crude Suicide Rate,Firearm Fatalities Rate,% Voter Turnout,% Homeowners,% Rural
1000,1571:1,25,5.4,2.6,5.2,,73,13,340,15,9,22,0.27,0.74,-7912,59703,27,17,23,62.6,70,42.3
1001,2273:1,21,6.7,2.3,4.6,No,59,11,218,13,13,9,0.05,0.75,-3607,70148,20,18,17,66.2,75,40.7
1003,1595:1,20,7.5,2.4,4.5,Yes,54,10,174,12,8,26,0.09,0.72,-537,71704,20,19,14,65.3,78,37.6
1005,2496:1,37,6.0,4.1,5.6,No,80,16,514,18,10,,0.04,0.78,-23627,41151,25,14,27,54.0,65,65.9
1007,1498:1,32,7.6,2.5,5.7,No,101,12,269,15,0,22,0.09,0.81,-6971,54309,24,16,21,54.6,76,100.0
1009,4920:1,25,7.7,2.2,4.6,No,62,11,81,14,3,21,0.10,0.88,-2789,60553,35,22,18,64.2,79,90.5
1011,5160:1,37,4.2,2.8,7.1,No,,19,616,16,32,,0.01,0.67,-38453,35798,39,,28,59.1,65,100.0
1013,3777:1,35,7.2,3.4,4.9,Yes,74,14,377,14,7,17,0.12,0.78,-15081,41852,34,11,25,62.9,71,69.4
1015,1705:1,26,5.9,3.0,4.9,No,66,12,255,16,15,23,0.19,0.76,-10277,52772,23,22,27,57.9,71,36.5
1017,2467:1,30,7.2,2.6,4.7,No,102,13,360,13,8,15,0.13,0.77,-26351,45563,33,20,24,58.5,72,50.7
1019,2272:1,30,7.2,2.3,4.5,No,88,11,133,15,5,21,0.06,0.88,-1664,52613,22,25,26,59.5,80,100.0
1021,4527:1,39,7.1,2.3,4.1,No,58,12,169,15,4,20,0.07,0.75,-3360,61823,23,16,16,59.5,75,85.5
1023,2507:1,30,6.2,3.8,6.2,No,91,14,279,16,13,,0.14,0.56,-22099,44458,30,,,73.3,82,100.0
1025,2529:1,30,5.5,5.0,5.7,Yes,121,14,202,16,18,,0.03,0.65,-14396,44906,33,16,22,70.3,72,100.0
1027,3548:1,33,7.4,2.3,5.5,Yes,,12,173,15,3,,0.02,0.84,-6581,49599,25,27,24,66.4,78,100.0
1029,3776:1,30,7.3,2.4,4.4,No,87,11,87,16,2,,0.11,0.79,-223,49248,25,20,28,63.1,78,100.0
1031,1935:1,28,6.8,2.5,5.0,No,64,11,180,15,9,13,0.08,0.66,-6093,62429,17,16,23,57.2,69,47.5
1033,1512:1,27,6.8,3.0,4.7,Yes,74,11,137,15,9,17,0.07,0.70,-5103,54593,29,19,21,64.8,71,40.3
1035,2266:1,29,6.8,3.5,5.0,No,140,15,299,13,13,,0.16,0.71,-20956,36106,41,,33,66.6,75,100.0
1037,,28,7.4,2.5,4.0,No,,12,205,13,8,,0.01,0.52,-14097,49485,25,,26,61.7,81,100.0
1039,2085:1,37,6.9,2.6,5.8,No,79,12,164,16,5,18,0.08,0.75,-8223,46958,29,20,23,60.3,75,68.8
1041,4361:1,24,6.6,2.6,6.0,No,,12,246,13,14,,0.03,0.78,-8255,49161,22,,22,62.5,75,100.0
1043,2081:1,31,7.5,2.1,4.4,No,51,10,109,14,3,25,0.05,0.69,204,61774,27,22,17,65.8,76,75.6
1045,3524:1,34,6.5,2.6,5.0,No,65,12,334,16,9,13,0.09,0.73,-7531,50567,21,23,26,52.9,60,50.5
1047,1393:1,33,6.5,5.0,5.5,No,64,16,415,16,9,9,0.22,0.70,-30630,35258,39,13,46,62.2,61,44.9
1049,2476:1,32,,2.3,4.8,No,68,13,110,16,,24,0.17,0.74,-4148,50037,23,23,18,58.9,74,88.3
1051,4465:1,21,7.9,2.2,3.9,No,71,11,280,12,5,11,0.08,0.79,-7385,71463,19,20,21,65.7,77,71.2
1053,3336:1,39,6.6,3.1,5.1,Yes,98,14,230,17,6,45,0.17,0.76,-9384,47792,30,26,22,55.9,67,65.3
1055,1357:1,36,6.3,3.0,4.7,Yes,82,11,222,15,13,22,0.23,0.77,-9222,55487,20,20,21,60.3,73,43.2
1057,1009:1,34,7.1,2.7,5.6,Yes,86,12,95,17,0,41,0.11,0.65,-3384,49205,27,22,18,68.0,76,100.0
1059,2463:1,43,7.2,2.3,4.6,No,59,13,87,15,6,19,0.17,0.74,-4702,49611,33,12,13,57.3,73,69.0
1061,3338:1,33,6.4,2.4,4.7,No,79,13,172,19,4,16,0.04,0.85,-5665,51585,21,18,16,61.5,76,99.4
1063,2543:1,51,4.0,4.4,5.4,No,,20,480,21,23,,,0.87,-46688,35449,38,,,74.1,74,100.0
1065,4918:1,33,6.6,3.9,6.5,No,87,16,531,16,7,,0.25,0.59,-14408,44702,30,16,37,69.8,77,100.0
1067,2910:1,27,7.3,2.7,5.9,No,71,12,287,13,8,,0.07,0.80,-5647,56702,19,27,26,68.8,82,100.0
1069,1221:1,32,7.3,2.6,5.2,No,74,12,418,15,4,13,0.17,0.72,-8717,56842,18,19,21,57.8,65,34.3
1071,1955:1,29,6.8,2.5,4.7,No,61,12,102,17,5,,0.11,0.67,-1941,51965,22,21,23,58.4,76,75.3
1073,900:1,22,6.9,2.6,5.5,No,86,13,679,13,13,41,0.35,0.79,-16855,61996,33,14,34,66.0,64,12.1
1075,,39,7.2,2.7,5.3,No,,12,206,17,0,,0.02,0.82,-3916,51523,26,,14,67.0,75,100.0
1077,1844:1,17,7.3,2.6,4.8,No,46,11,123,14,6,12,0.19,0.73,-2981,59023,27,14,14,60.4,68,52.2
1079,5515:1,34,7.1,2.4,4.4,No,90,12,89,15,5,,0.07,0.78,-2967,55516,30,22,23,62.6,79,100.0
1081,2014:1,13,6.9,2.4,6.6,No,60,11,219,13,11,10,0.10,0.79,-5116,59637,26,13,17,57.7,65,26.4
1083,2906:1,21,7.7,2.1,4.4,No,51,11,145,12,6,5,0.08,0.72,-3144,83159,19,16,19,67.0,78,51.0
1085,9965:1,33,5.3,5.2,6.5,No,147,17,549,16,20,,0.08,0.77,-38643,42268,34,,69,89.2,77,100.0
1087,3149:1,18,5.8,3.8,5.5,No,72,17,633,13,22,,0.08,0.76,-31816,36601,42,,47,57.4,63,53.9
1089,1169:1,16,7.5,2.1,5.0,No,62,10,258,11,9,27,0.13,0.67,-2103,80426,20,16,18,69.9,68,17.1
1091,2375:1,26,6.2,3.4,6.3,No,107,15,194,15,13,,0.15,0.63,-23709,45587,28,14,24,74.6,68,67.8
1093,4178:1,38,7.0,2.5,4.8,Yes,85,11,156,18,1,11,0.05,0.68,-1689,47742,28,21,20,59.1,73,100.0
1095,1819:1,44,6.7,2.1,4.7,Yes,57,11,158,15,10,24,0.17,0.76,-2555,53388,21,17,14,59.1,75,53.7
1097,1405:1,28,6.9,3.2,5.2,No,81,14,563,14,10,21,0.25,0.71,-10344,54315,27,15,25,58.7,63,22.4
