 FIPS,Micrograms per cubic meter (PM2.5)(2)
0,7.4
6071,15.6
2090,15.5
42003,14.1
6073,13.8
6037,13.4
6029,12.9
6107,12.9
6065,12.7
26163,12.7
18097,12.6
6031,12.3
6063,12.2
39017,12.0
39061,12.0
6019,11.7
30053,11.6
4021,11.3
17119,11.2
42071,11.1
34003,11.0
17043,11.0
39035,10.9
48427,10.9
17031,10.8
42041,10.8
42045,10.8
13095,10.8
13135,10.8
6025,10.8
16055,10.8
22017,10.7
48157,10.7
48201,10.7
48215,10.7
1073,10.7
13245,10.7
29510,10.7
48479,10.7
1117,10.6
6099,10.6
48039,10.5
39023,10.5
21111,10.5
39113,10.5
48339,10.5
39165,10.5
13013,10.4
53005,10.4
16017,10.4
13057,10.4
13117,10.4
53021,10.4
41035,10.4
13297,10.4
22015,10.3
34007,10.3
13073,10.3
39057,10.3
18089,10.3
28089,10.3
5119,10.3
13247,10.3
39151,10.3
17201,10.3
45003,10.2
13015,10.2
18057,10.2
41025,10.2
18063,10.2
13151,10.2
41047,10.2
13217,10.2
13223,10.2
28121,10.2
34039,10.2
18167,10.2
37183,10.2
48489,10.2
48505,10.2
16009,10.1
41005,10.1
13097,10.1
5045,10.1
13153,10.1
13157,10.1
48247,10.1
17093,10.1
1081,10.1
39109,10.1
5125,10.1
48473,10.1
1001,10.0
18011,10.0
42019,10.0
40027,10.0
39041,10.0
48121,10.0
8031,10.0
1051,10.0
18043,10.0
39049,10.0
21117,10.0
6039,10.0
13207,10.0
13211,10.0
13219,10.0
1115,10.0
1121,10.0
41059,10.0
13009,9.9
42007,9.9
48047,9.9
21029,9.9
13035,9.9
40017,9.9
1021,9.9
13059,9.9
39025,9.9
48085,9.9
17037,9.9
13113,9.9
13115,9.9
13133,9.9
13159,9.9
13169,9.9
13177,9.9
41043,9.9
28087,9.9
39097,9.9
40087,9.9
5103,9.9
13225,9.9
13237,9.9
22119,9.9
48491,9.9
1007,9.8
21015,9.8
13033,9.8
42027,9.8
1017,9.8
13053,9.8
28025,9.8
5027,9.8
13077,9.8
13079,9.8
22031,9.8
48131,9.8
47057,9.8
48187,9.8
47063,9.8
13145,9.8
48209,9.8
28049,9.8
13163,9.8
47089,9.8
48249,9.8
18081,9.8
17097,9.8
40079,9.8
39089,9.8
5081,9.8
5085,9.8
13195,9.8
13189,9.8
5091,9.8
22081,9.8
40131,9.8
6077,9.8
5131,9.8
13255,9.8
13285,9.8
39159,9.8
40145,9.8
13319,9.8
17197,9.8
53077,9.8
22013,9.7
1015,9.7
48061,9.7
13045,9.7
39021,9.7
22027,9.7
5019,9.7
48091,9.7
39037,9.7
48139,9.7
39045,9.7
13129,9.7
40051,9.7
17063,9.7
18059,9.7
5057,9.7
5059,9.7
5069,9.7
28067,9.7
17099,9.7
13171,9.7
13175,9.7
1087,9.7
13193,9.7
13205,9.7
26115,9.7
5099,9.7
17141,9.7
13221,9.7
40109,9.7
28105,9.7
13233,9.7
16079,9.7
13261,9.7
1123,9.7
13289,9.7
13293,9.7
1127,9.7
13321,9.7
22005,9.6
48015,9.6
1009,9.6
54009,9.6
5013,9.6
1037,9.6
13081,9.6
5039,9.6
48113,9.6
13089,9.6
41017,9.6
13091,9.6
13093,9.6
53025,9.6
48185,9.6
13141,9.6
5061,9.6
29095,9.6
19103,9.6
17091,9.6
28075,9.6
28081,9.6
48291,9.6
22061,9.6
6047,9.6
13199,9.6
28095,9.6
18109,9.6
28099,9.6
40113,9.6
42099,9.6
13231,9.6
48409,9.6
19163,9.6
39149,9.6
29183,9.6
13263,9.6
13269,9.6
13273,9.6
22111,9.6
13301,9.6
39169,9.6
48021,9.5
13023,9.5
17007,9.5
48041,9.5
37025,9.5
48055,9.5
48067,9.5
1019,9.5
1025,9.5
5029,9.5
5033,9.5
1047,9.5
18029,9.5
22033,9.5
13105,9.5
37067,9.5
13121,9.5
37071,9.5
13131,9.5
5053,9.5
48183,9.5
13143,9.5
18061,9.5
37097,9.5
48251,9.5
41033,9.5
5073,9.5
17103,9.5
22063,9.5
17115,9.5
45065,9.5
21145,9.5
37119,9.5
22069,9.5
21185,9.5
48365,9.5
39129,9.5
13235,9.5
1111,9.5
55105,9.5
37159,9.5
48401,9.5
1113,9.5
28123,9.5
5133,9.5
48453,9.5
48481,9.5
13317,9.5
53001,9.4
6001,9.4
45007,9.4
48013,9.4
39011,9.4
13007,9.4
13011,9.4
1005,9.4
5007,9.4
42013,9.4
48037,9.4
5011,9.4
13047,9.4
28017,9.4
1029,9.4
39027,9.4
13071,9.4
39029,9.4
1043,9.4
13119,9.4
13125,9.4
1065,9.4
13147,9.4
13149,9.4
42061,9.4
13167,9.4
48261,9.4
28079,9.4
42075,9.4
13181,9.4
48297,9.4
40083,9.4
1085,9.4
1091,9.4
13197,9.4
48315,9.4
40089,9.4
17113,9.4
39107,9.4
28101,9.4
6059,9.4
1105,9.4
5105,9.4
